Gender,Category,Sub category,Service Name,Service Name in Marathi,Duration in minuts,Amount,Reminder In Days,Short Description,Long Description
1,Hair,Texture Treatment,Smoothning,सरळ करणे,240,100,,,
1,Hair,Texture Treatment,Straightening,सरळ करणे,240,120,,,
1,Hair,Texture Treatment,Rebonding,सरळ करणे,240,120,,,
1,Hair,Texture Treatment,Perming,कुरळे करणे,240,150,,,
1,Hair,Blow dry,With wash ,केस धुण्यासह,35,120,,,
1,Hair,Blow dry,Without wash,केस न धुता,25,150,,,
1,Skin,Threading,Eyebrow,भुवया,15,100,,,
1,Skin,Threading,Upper Lips,ओठांच्या वरील भाग,10,120,,,
1,Skin,Threading,Forehead,कपाळ,10,120,,,
1,Skin,Threading,Chin,हनुवटी,10,150,,,
1,Skin,Threading,Jawline,जबडा,10,120,,,
1,Skin,Threading,Chiks,गाल,10,150,,,
1,Skin,waxing ,Upper Lips,ओठांच्या वरील भाग,10,100,,,
1,Skin,waxing,Forehead,कपाळ,10,120,,,
1,Skin,waxing,Chin,हनुवटी,10,120,,,
1,Skin,waxing,Jawline,जबडा,10,150,,,
1,Skin,waxing,Chiks,गाल,10,120,,,
1,Skin,Facial,Luxurious,लक्झरीयस,90,150,,,
1,Skin,Facial,Premium,प्रिमियम,75,100,,,
1,Skin,Facial,Express,एक्स्प्रेस,60,120,,,
1,Skin,Professional Cleanup,Pro. Cleanup,प्रो. क्लिनअप,45,120,,,
1,Skin,Bleach,Face,चेहरा,25,150,,,
1,Skin,Bleach,Face & Neck,चेहरा आणि मान,30,120,,,
1,Skin,Bleach,Full Back,पूर्ण पाठ,30,150,,,
1,Skin,Bleach,Half Back,आर्धी पाठ,25,100,,,
1,Skin,Bleach,Full Arms,पूर्ण हात,30,120,,,
1,Skin,Bleach,Under Arms ,बगल,25,120,,,
1,Skin,Bleach,Full Body,संपूर्ण शरीर,45,150,,,
1,Skin,D-Tan,Face,चेहरा,25,120,,,
1,Skin,D-Tan,Face & Neck,चेहरा आणि मान,30,150,,,
1,Skin,D-Tan,Full Back,पूर्ण पाठ,30,100,,,
1,Skin,D-Tan,Half Back,आर्धी पाठ,25,120,,,
1,Skin,D-Tan,Full Arms,पूर्ण हात,30,120,,,
1,Skin,D-Tan,Under Arms ,बगल,25,150,,,
1,Skin,D-Tan,Full Body,संपूर्ण शरीर,45,120,,,
1,Skin,Scrub,Face,चेहरा,25,150,,,
1,Skin,Face Massage,Face,चेहरा,20,100,,,
1,Skin,Body Spa,Body Polishing,बॉडी पॉलिशिंग,45,120,,,
1,Skin,Body Spa,Body Massage,बॉडी- मसाज,60,120,,,
1,Skin,Body Spa,Body Scrub,बॉडी स्क्रब,45,150,,,
1,Hand & Feet ,Pedicure,Luxurious,लक्झरीयस,120,120,,,
1,Hand & Feet,Pedicure,Premium,प्रिमियम,90,150,,,
1,Hand & Feet,Pedicure,Express,एक्स्प्रेस,75,100,,,
1,Hand & Feet ,Manicure,Luxurious,लक्झरीयस,90,120,,,
1,Hand & Feet,Manicure,Premium,प्रिमियम,75,120,,,
1,Hand & Feet,Manicure,Express,एक्स्प्रेस,60,150,,,
1,Makeup,Bridal,Bridal,नवरी,90,120,,,
1,Makeup,Engagement,Engagement,एंगेजमेंट,75,150,,,
1,Makeup,Sider,Sider,साइडर,35,100,,,
1,Makeup,Party,Party,पार्टी,35,120,,,
1,Makeup,Mehandi Design,Mehandi,मेहंदी,150,120,,,
1,Nails,Get Polish ,Get Polish ,नखं रंगवणे,20,150,,,
